,Country,Confirmed,Death,Recovered
0,Afghanistan,36263,1269,25198
1,Albania,4880,144,2745
2,Algeria,27973,1163,18837
3,Andorra,907,52,803
4,Angola,950,41,242
5,Antigua and Barbuda,86,3,65
6,Argentina,167416,3059,72575
7,Armenia,37390,711,26665
8,Austria,20558,713,18246
9,Azerbaijan,30446,423,23242
10,Bahamas,382,11,91
11,Bahrain,39482,141,36110
12,Bangladesh,226225,2965,125683
13,Barbados,110,7,94
14,Belarus,67251,538,60492
15,Belgium,66428,9822,17452
16,Belize,48,2,26
17,Benin,1770,35,1036
18,Bhutan,99,0,86
19,Bolivia,71181,2647,21478
20,Bosnia and Herzegovina,10498,294,4930
21,Botswana,739,2,63
22,Brazil,2442375,87618,1846641
23,Brunei,141,3,138
24,Bulgaria,10621,347,5585
25,Burkina Faso,1100,53,926
26,Burma,350,6,292
27,Burundi,378,1,301
28,Cabo Verde,2328,22,1550
29,Cambodia,226,0,147
30,Cameroon,17110,391,14539
31,Central African Republic,4599,59,1546
32,Chad,922,75,810
33,Chile,347923,9187,319954
34,Colombia,257101,8777,131161
35,Comoros,354,7,328
36,Congo (Brazzaville),3200,54,829
37,Congo (Kinshasa),8844,208,5700
38,Costa Rica,15841,115,3824
39,Cote d'Ivoire,15655,96,10361
40,Croatia,4881,139,3936
41,Cuba,2532,87,2351
42,Cyprus,1060,19,852
43,Czechia,15516,373,11428
44,Denmark,13775,613,12618
45,Diamond Princess,712,13,651
46,Djibouti,5059,58,4977
47,Dominica,18,0,18
48,Dominican Republic,64156,1083,30204
49,Ecuador,81161,5532,34896
50,Egypt,92482,4652,34838
51,El Salvador,15035,408,7778
52,Equatorial Guinea,3071,51,842
53,Eritrea,265,0,191
54,Estonia,2034,69,1923
55,Eswatini,2316,34,1025
56,Ethiopia,14547,228,6386
57,Fiji,27,0,18
58,Finland,7398,329,6920
59,France,220352,30212,81212
60,Gabon,7189,49,4682
61,Gambia,326,8,66
62,Georgia,1137,16,922
63,Germany,207112,9125,190314
64,Ghana,33624,168,29801
65,Greece,4227,202,1374
66,Grenada,23,0,23
67,Guatemala,45309,1761,32455
68,Guinea,7055,45,6257
69,Guinea-Bissau,1954,26,803
70,Guyana,389,20,181
71,Haiti,7340,158,4365
72,Holy See,12,0,12
73,Honduras,39741,1166,5039
74,Hungary,4448,596,3329
75,Iceland,1854,10,1823
76,India,1480073,33408,951166
77,Indonesia,100303,4838,58173
78,Iran,293606,15912,255144
79,Iraq,112585,4458,77144
80,Ireland,25892,1764,23364
81,Israel,63985,474,27133
82,Italy,246286,35112,198593
83,Jamaica,853,10,714
84,Japan,31142,998,21970
85,Jordan,1176,11,1041
86,Kazakhstan,84648,585,54404
87,Kenya,17975,285,7833
88,"Korea, South",14203,300,13007
89,Kosovo,7413,185,4027
90,Kuwait,64379,438,55057
91,Kyrgyzstan,33296,1301,21205
92,Laos,20,0,19
93,Latvia,1219,31,1045
94,Lebanon,3882,51,1709
95,Lesotho,505,12,128
96,Liberia,1167,72,646
97,Libya,2827,64,577
98,Liechtenstein,86,1,81
99,Lithuania,2019,80,1620
100,Luxembourg,6321,112,4825
101,Madagascar,9690,91,6260
102,Malawi,3664,99,1645
103,Malaysia,8904,124,8601
104,Maldives,3369,15,2547
105,Mali,2513,124,1913
106,Malta,701,9,665
107,Mauritania,6208,156,4653
108,Mauritius,344,10,332
109,Mexico,395489,44022,303810
110,Moldova,23154,748,16154
111,Monaco,116,4,104
